q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.833250173740767,0.8273900779375103,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8296701088961704,0.8309730433109435,0.8309730433109435,0.8309730433109435,0.8309730433109435,0.8296701088961704,0.8409950521124234,0.8409950521124234,0.8315935365125215,0.83789419996053,0.8395508371887753,0.8409950521124234,0.83789419996053
q1,0.7801449871556403,0.9359100812498644,0.9343816837503873,0.9314437892466578,0.9466283887869092,0.9502725354098007,0.9516997322629477,0.9523828222372885,0.9679614541544778,0.9689342197634473,0.6249401354514071,0.6052482641695117,0.6712875276848725,0.6829289485654554,0.6702071037122247,0.6788470520457647,0.7289502452153785,0.6996231666423944
q10,0.8282258939725223,0.8005176968702236,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8296701088961704,0.8296701088961704,0.8324172582345916,0.8309730433109435,0.8293164060826981,0.8296701088961704,0.8409950521124234,0.8409950521124234,0.8315935365125215,0.83789419996053,0.8395508371887753,0.8409950521124234,0.7237539856273886
q11,0.9186116275678073,0.9846521949242326,0.9444408107313513,0.9416230131286546,0.944106252926688,0.9175309999925437,0.9168073301903369,0.9180166655330412,0.9203016690194037,0.9275790683664179,0.6161663312759533,0.7177234501577084,0.7341175718049494,0.8304359135590086,0.7113132901100703,0.7223599687303099,0.6452369696141014,0.6677768857864407
q12,0.3301453787647326,0.525720247129435,0.5100937157935619,0.5489737508784645,0.5127481800908704,0.5110059199964272,0.4910199804541162,0.48154884922037317,0.4724234927459714,0.47129276970956974,0.11749903170641009,0.2305184034339661,0.1333696501653887,0.08212141900235828,0.23533509262702465,0.07833268780427338,0.08539005736736073,0.09092031323567568
q13,0.6416295933005234,0.6537846644536343,0.650127527185689,0.6492998201238902,0.6511708030486694,0.6511708030486694,0.6515647801460728,0.6515647801460728,0.6510662022597868,0.6510662022597868,0.6036455380052191,0.6069760442453631,0.552715794154838,0.5298796783738742,0.6544382452836145,0.6968229860220816,0.5592223590498814,0.559459120754026
q14,0.8154648767857288,0.8154648767857288,0.8154648767857288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7153382790366966,1.0,0.75,0.8154648767857288,1.0,1.0,1.0,1.0
q15,0.13406086670146197,0.13406086670146197,0.26812173340292395,0.26812173340292395,0.2186438562929914,0.20109130005219297,0.18181431093045328,0.17635236149722672,0.170289227899792,0.1668589304168139,0.2186438562929914,0.19179773934478359,0.09648915379240523,0.07990291134293037,0.26812173340292395,0.26812173340292395,0.18592268932521824,0.26812173340292395
q16,0.8942314777582058,0.7560855788458314,0.8730237325927904,0.8202673772842602,0.8142201799265545,0.8417319352304672,0.8360267475293416,0.8360267475293416,0.8454214105481205,0.8556590210683793,0.7904953572379924,0.8416539391819935,0.6597340434030269,0.7674526569201771,0.8386397491982643,0.7840324038525568,0.647437996552757,0.8729788489008918
q17,0.6885288809404666,0.6489266791213485,0.6377057761880933,0.6573668369339241,0.6573668369339241,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6885288809404666,0.8262346571285599,0.6377057761880933,0.6885288809404666,0.3391357852485441,0.12744846574471497,0.22567752893037152,0.6231598209278505
q18,0.6309297535714575,0.3333333333333333,0.0,0.3010299956639812,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.0,0.0,0.5,0.5,0.23540891336663824,0.43067655807339306,0.38685280723454163,0.5
q19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q2,0.5208131492484401,0.5404221648268277,0.47775845356664337,0.5751417002137545,0.5703125494092548,0.5534697676259217,0.5505472741429067,0.5402911946321033,0.5505472741429067,0.5477479056863312,0.2878441878031637,0.26042905589383786,0.33486703157941666,0.1747090123738634,0.24849404216722257,0.22559506052120612,0.21804188023020782,0.27385597806600454
q20,0.8282258939725223,0.7260856924296459,0.83789419996053,0.8324172582345916,0.8296701088961704,0.8270920028253399,0.7306618877890882,0.7334090371275094,0.8009732902688337,0.731752399899264,0.6694754512149674,0.8409950521124234,0.8409950521124234,0.723142358564192,0.83789419996053,0.8395508371887753,0.8409950521124234,0.7160462043117268
q21,0.830779468888164,0.876030642651139,0.8573647883751072,0.9263261793088448,0.9127099390587109,0.9090404492055374,0.9218564927344115,0.8946352729426152,0.8977856195799725,0.8924631715147794,0.5926862985224727,0.5441177265044521,0.5498232636633353,0.5857721859119669,0.539599008213365,0.52674934900285,0.5728729647575956,0.5565663156105171
q22,0.586193906129599,0.5334248512539195,0.4765762121668614,0.5457488917205912,0.5210692228812365,0.5224761623823393,0.5277007650218246,0.523137209792551,0.525061058002419,0.528493890195291,0.2878441878031637,0.26042905589383786,0.3382998637722887,0.2849890978260672,0.24849404216722257,0.3462435869149276,0.21804188023020782,0.28753724459399926
q23,0.6354035485999602,0.6866833300096014,0.6010854248878942,0.6157161089674543,0.6490614195042957,0.6404864490594947,0.6861386320329069,0.6861386320329069,0.6952583004544024,0.694713602477708,0.6036455380052191,0.6863770326525014,0.5263330418691167,0.6369682341676394,0.6544382452836145,0.6167822166488476,0.5592223590498814,0.4750273853878605
q24,1.0,1.0,0.8154648767857288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7153382790366966,1.0,0.8154648767857288,1.0,1.0,0.8154648767857288,1.0,1.0
q25,0.13406086670146197,0.13406086670146197,0.26812173340292395,0.20109130005219297,0.18181431093045328,0.17874782226861596,0.17145619975571125,0.17145619975571125,0.2186438562929914,0.18181431093045328,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.16757608337682747,0.170289227899792,0.26812173340292395
q26,0.8029268538910129,0.8002164608208768,0.8729788489008918,0.8357946914929222,0.8496475663707291,0.8143760225479392,0.8143760225479392,0.8156383771807793,0.833598785210164,0.8000978516774683,0.7904953572379924,0.8416539391819935,0.6597340434030269,0.8906337212293445,0.8537043058881079,0.8381094853508755,0.8767473548311453,0.8729788489008918
q27,0.0,0.6156574390258704,0.6156574390258704,0.6252498143744771,0.6231598209278505,0.6304348973059355,0.6196759928464199,0.6213169017083872,0.6252498143744771,0.6213169017083872,0.6573668369339241,0.4271424782964423,0.6196759928464199,0.6276472144385372,0.6231598209278505,0.3427911379706429,0.20080629488560398,0.6304348973059355
q28,0.6309297535714575,0.27894294565112987,0.0,0.3010299956639812,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.0,0.0,0.43067655807339306,0.6309297535714575,0.5,0.6309297535714575,0.5,0.6309297535714575
q29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q3,0.6246025505161035,0.670680240891548,0.5911825330178313,0.6344307354247356,0.641552556740888,0.641552556740888,0.641552556740888,0.6877033176005861,0.6877033176005861,0.6083341103846104,0.6036455380052191,0.6701816630052619,0.46353091800610235,0.3543959500035907,0.6364461505653662,0.564008212359283,0.44025269983167953,0.4782284234483098
q4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7153382790366966,1.0,0.8154648767857288,1.0,1.0,1.0,1.0,1.0
q5,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.26812173340292395,0.16927189100728415,0.16757608337682747,0.26812173340292395
q6,0.8719812263245853,0.8804512743428229,0.8723977021657734,0.8779671807944808,0.8655079596522433,0.8684313614432315,0.8675763436368291,0.8664682376938364,0.8700162383858825,0.8661325585533012,0.7904953572379924,0.8416539391819935,0.7132426884722473,0.8954582956462981,0.837102118201741,0.8912880914312795,0.8757870767895523,0.8726317002336662
q7,0.7245884476238134,0.7245884476238134,0.3622942238119067,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.6885288809404666,0.3699724916093904,0.6276472144385372,0.6377057761880933,0.6145473376247308,0.8262346571285599,0.6694364041833993,0.6252498143744771
q8,1.0,0.43067655807339306,0.24465054211822604,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.0,0.3562071871080222,0.5,0.43067655807339306,0.5,0.6309297535714575,0.43067655807339306,0.6309297535714575
q9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
